Kategori: Tüm kategoriler

Hafta,IST:THYAO: (Türkiye)
2015-07-26,9
2015-08-02,5
2015-08-09,9
2015-08-16,18
2015-08-23,15
2015-08-30,16
2015-09-06,17
2015-09-13,13
2015-09-20,6
2015-09-27,12
2015-10-04,10
2015-10-11,12
2015-10-18,10
2015-10-25,8
2015-11-01,26
2015-11-08,16
2015-11-15,18
2015-11-22,23
2015-11-29,32
2015-12-06,31
2015-12-13,30
2015-12-20,26
2015-12-27,17
2016-01-03,23
2016-01-10,23
2016-01-17,18
2016-01-24,17
2016-01-31,16
2016-02-07,25
2016-02-14,30
2016-02-21,27
2016-02-28,34
2016-03-06,35
2016-03-13,28
2016-03-20,28
2016-03-27,21
2016-04-03,21
2016-04-10,24
2016-04-17,54
2016-04-24,37
2016-05-01,46
2016-05-08,56
2016-05-15,40
2016-05-22,42
2016-05-29,34
2016-06-05,32
2016-06-12,39
2016-06-19,37
2016-06-26,53
2016-07-03,17
2016-07-10,56
2016-07-17,76
2016-07-24,62
2016-07-31,55
2016-08-07,85
2016-08-14,72
2016-08-21,61
2016-08-28,51
2016-09-04,54
2016-09-11,18
2016-09-18,51
2016-09-25,52
2016-10-02,48
2016-10-09,49
2016-10-16,66
2016-10-23,58
2016-10-30,47
2016-11-06,69
2016-11-13,45
2016-11-20,55
2016-11-27,75
2016-12-04,66
2016-12-11,63
2016-12-18,57
2016-12-25,50
2017-01-01,50
2017-01-08,56
2017-01-15,51
2017-01-22,62
2017-01-29,69
2017-02-05,67
2017-02-12,64
2017-02-19,46
2017-02-26,43
2017-03-05,50
2017-03-12,56
2017-03-19,59
2017-03-26,38
2017-04-02,39
2017-04-09,41
2017-04-16,49
2017-04-23,71
2017-04-30,42
2017-05-07,61
2017-05-14,57
2017-05-21,68
2017-05-28,57
2017-06-04,63
2017-06-11,53
2017-06-18,54
2017-06-25,50
2017-07-02,64
2017-07-09,73
2017-07-16,74
2017-07-23,62
2017-07-30,53
2017-08-06,58
2017-08-13,59
2017-08-20,55
2017-08-27,32
2017-09-03,45
2017-09-10,62
2017-09-17,60
2017-09-24,68
2017-10-01,58
2017-10-08,76
2017-10-15,57
2017-10-22,63
2017-10-29,56
2017-11-05,73
2017-11-12,76
2017-11-19,63
2017-11-26,81
2017-12-03,58
2017-12-10,56
2017-12-17,61
2017-12-24,49
2017-12-31,47
2018-01-07,60
2018-01-14,60
2018-01-21,52
2018-01-28,47
2018-02-04,54
2018-02-11,47
2018-02-18,35
2018-02-25,15
2018-03-04,27
2018-03-11,41
2018-03-18,61
2018-03-25,45
2018-04-01,52
2018-04-08,67
2018-04-15,70
2018-04-22,62
2018-04-29,57
2018-05-06,52
2018-05-13,45
2018-05-20,25
2018-05-27,21
2018-06-03,27
2018-06-10,29
2018-06-17,17
2018-06-24,9
2018-07-01,27
2018-07-08,36
2018-07-15,28
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,2
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,2
2018-09-16,51
2018-09-23,51
2018-09-30,50
2018-10-07,58
2018-10-14,78
2018-10-21,68
2018-10-28,74
2018-11-04,79
2018-11-11,59
2018-11-18,65
2018-11-25,49
2018-12-02,54
2018-12-09,45
2018-12-16,50
2018-12-23,42
2018-12-30,31
2019-01-06,34
2019-01-13,60
2019-01-20,52
2019-01-27,63
2019-02-03,57
2019-02-10,84
2019-02-17,86
2019-02-24,72
2019-03-03,89
2019-03-10,85
2019-03-17,100
2019-03-24,96
2019-03-31,90
2019-04-07,73
2019-04-14,61
2019-04-21,49
2019-04-28,48
2019-05-05,80
2019-05-12,74
2019-05-19,80
2019-05-26,67
2019-06-02,30
2019-06-09,68
2019-06-16,65
2019-06-23,62
2019-06-30,80
2019-07-07,62
2019-07-14,54
2019-07-21,65
